"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.614966250E-1,-3.065475896E-2,3.627722226E-3,2.237670958E-2
8.714776250E-1,-4.916412011E-2,5.265390286E-2,2.651536882E-2
8.814586250E-1,-5.026354283E-2,8.397338061E-2,1.686103106E-2
8.914396250E-1,-4.254492581E-2,1.045570050E-1,9.541486502E-3
9.014206250E-1,-2.322214387E-2,1.134924093E-1,1.102784872E-2
9.114016250E-1,-1.866182730E-2,1.095309024E-1,2.707377791E-2
9.213826249E-1,-9.619108289E-3,9.761741979E-2,6.636005044E-3
9.313636250E-1,2.137011141E-3,6.621233515E-2,3.305781841E-2
9.413446250E-1,1.647007160E-2,3.022582915E-2,2.781871319E-2
9.513240000E-1,3.208009087E-2,3.232651446E-3,6.463512182E-2
9.613049999E-1,2.510297388E-2,-1.285440926E-2,1.150375360E-1
9.712860000E-1,-6.626649499E-3,-2.190200703E-2,1.169109839E-1
9.812670000E-1,-2.864638656E-2,-2.279769083E-2,8.821226478E-2
9.912479999E-1,-2.466297090E-2,-5.205100011E-3,4.325126946E-2
1.001229000E0,3.296075463E-3,9.825332277E-3,2.186975598E-2
1.011210000E0,2.590930492E-2,3.128037449E-2,4.326881111E-2
1.021191000E0,5.343441479E-2,3.119069282E-2,5.635078669E-2
1.031172000E0,6.564259708E-2,2.243684454E-2,3.822266400E-2
1.041153000E0,5.113105036E-2,2.417807227E-2,-6.661498904E-2
1.051134000E0,1.653212517E-2,1.622165630E-2,-1.665988684E-1
1.061114000E0,1.870516978E-2,-3.016030379E-3,-1.671789122E-1
1.071095000E0,3.274294585E-2,-1.402019788E-2,-6.782653213E-2
1.081076000E0,2.052606583E-2,-2.067981105E-2,1.080805188E-1
1.091057000E0,-1.581810705E-2,-2.357093029E-2,2.280361480E-1
1.101038000E0,-6.824300006E-2,-3.060143966E-2,2.825105631E-1
1.111019000E0,-1.013584135E-1,-2.998682421E-2,2.396563196E-1
1.121000000E0,-1.131940551E-1,-4.023783378E-2,1.613942617E-1
1.130981000E0,-1.201249791E-1,-2.742064571E-2,8.509803772E-2
1.140962000E0,-8.832160771E-2,-3.924943507E-3,2.723574579E-2
1.150943000E0,-6.094611347E-2,7.803091016E-3,-6.282248497E-3
1.160923000E0,-1.835389830E-2,5.442369059E-3,-2.843559444E-2
1.170904000E0,4.290233687E-2,-8.643134907E-3,-3.308822393E-2
1.180885000E0,1.012043394E-1,-2.188251022E-2,-2.537106872E-2
1.190866000E0,1.320313720E-1,-2.856085276E-2,-2.262638569E-2
1.200847000E0,1.348989196E-1,-2.132676892E-2,3.502482176E-3
1.210828000E0,1.131152639E-1,-1.415271040E-2,3.273271322E-2
1.220809000E0,8.489565097E-2,9.324006625E-3,3.965406239E-2
1.230790000E0,5.231408827E-2,1.840871595E-2,4.777759910E-2
1.240771000E0,1.832122698E-2,3.001521975E-2,7.777264595E-2
1.250752000E0,6.861853749E-3,3.253582651E-2,6.430533886E-2
1.260732000E0,-2.768985517E-2,2.981188282E-2,5.887327552E-2
1.270713000E0,-3.872771725E-2,3.012922218E-2,3.507043004E-2
1.280694000E0,-2.924236402E-2,7.033780161E-3,4.329921663E-2
1.290675000E0,-1.993900537E-2,-9.482922982E-3,6.414278626E-2
1.300656000E0,3.444667831E-3,-2.553369440E-2,3.486928582E-2
1.310637000E0,3.706740037E-2,-2.353800315E-2,1.893971622E-2
1.320618000E0,2.946229242E-2,-2.150054086E-2,-1.893269956E-2
1.330599000E0,8.726896271E-3,-1.133135576E-3,-6.259502828E-2
1.340580000E0,-3.903747350E-3,1.982827373E-2,-6.630567133E-2
1.350561000E0,-2.648130879E-3,3.831623772E-2,-1.001920402E-2
1.360542000E0,-1.724745892E-2,4.729348619E-2,3.859454691E-2
1.370522000E0,-3.440976776E-2,5.003749313E-2,8.340936184E-2
1.380503000E0,-5.162287429E-2,4.141191814E-2,1.145083630E-1
1.390484000E0,-6.307128400E-2,4.561904462E-2,1.209999418E-1
1.400465000E0,-6.957791939E-2,5.008986225E-2,9.522892356E-2
1.410446000E0,-7.079947583E-2,4.920910712E-2,8.328130782E-2
1.420427000E0,-5.873126127E-2,3.485717112E-2,5.983923554E-2
1.430408000E0,-3.566458024E-2,3.862305209E-2,5.781960726E-2
1.440389000E0,-8.224839717E-3,3.017890524E-2,3.978737891E-2
1.450370000E0,8.953037336E-3,2.255654801E-2,2.814557254E-2
1.460351000E0,2.217256866E-2,1.148784187E-2,4.395995200E-2
1.470331000E0,2.679983586E-2,-2.949719299E-3,2.934015870E-2
