"Time (ms)","Recording (a.u.)"
3.750142051E0,6.813202798E-2
3.770976173E0,7.128444314E-2
3.791810296E0,7.662647218E-2
3.812644418E0,8.303026855E-2
3.833478541E0,8.721960336E-2
3.854312663E0,9.111452103E-2
3.875146786E0,9.942486882E-2
3.895980908E0,1.139304563E-1
3.916815031E0,1.316048801E-1
3.937649153E0,1.458758116E-1
3.958483276E0,1.565095782E-1
3.979317398E0,1.611502171E-1
4.000151521E0,1.571382582E-1
4.020985643E0,1.492794156E-1
4.041819766E0,1.409998983E-1
4.062653888E0,1.351754069E-1
4.083488011E0,1.324714422E-1
4.104322133E0,1.333162189E-1
4.125156256E0,1.392537802E-1
4.145990378E0,1.467394084E-1
4.166824501E0,1.541821212E-1
4.187658623E0,1.609922051E-1
4.208492746E0,1.637165248E-1
4.229326868E0,1.655418575E-1
4.250160991E0,1.739637554E-1
4.270995113E0,1.897226125E-1
4.291829236E0,2.068299949E-1
4.312663358E0,2.180942893E-1
4.333497481E0,2.206333131E-1
4.354331603E0,2.182671726E-1
4.375165726E0,2.169699371E-1
4.395999848E0,2.158557028E-1
4.416833971E0,2.105928808E-1
4.437668093E0,2.018572688E-1
4.458502216E0,1.943115443E-1
4.479336338E0,1.904919893E-1
4.500170461E0,1.874908805E-1
4.521004584E0,1.843227446E-1
4.541838706E0,1.847248971E-1
4.562672829E0,1.913581789E-1
4.583506951E0,2.000277638E-1
4.604341074E0,2.054110169E-1
4.625175196E0,2.091643065E-1
4.646009319E0,2.152689695E-1
4.666843441E0,2.237613648E-1
4.687677564E0,2.270271629E-1
4.708511686E0,2.190918028E-1
4.729345809E0,2.070781440E-1
4.750179931E0,1.994414032E-1
4.771014054E0,1.953134537E-1
4.791848176E0,1.915070117E-1
4.812682299E0,1.867459416E-1
4.833516421E0,1.821916103E-1
4.854350544E0,1.804732382E-1
4.875184666E0,1.797887236E-1
4.896018789E0,1.761163324E-1
4.916852911E0,1.677497625E-1
4.937687034E0,1.558362544E-1
4.958521156E0,1.448036134E-1
4.979355279E0,1.364274323E-1
5.000189401E0,1.297844648E-1
5.021023524E0,1.255291849E-1
5.041857646E0,1.220702380E-1
5.062691769E0,1.160218865E-1
5.083525891E0,1.067089140E-1
5.104360014E0,9.787544608E-2
5.125194136E0,9.360450506E-2
5.146028259E0,9.202608466E-2
5.166862381E0,8.915453404E-2
5.187696504E0,8.375732601E-2
5.208530626E0,7.822337747E-2
5.229364749E0,7.759334892E-2
5.250198871E0,8.115101606E-2
5.271032994E0,8.325546980E-2
